player,contract_type,bird_rights_status,cap_hit_override,team_override,free_agent_override,notes
Bradley Beal,,,6424800,LAC,,"Re-signed with the Clippers Aug 2026 on a new 2yr/$13.2M deal (yr2 is a $6,746,040 player option, partially guaranteed $3M, 15% trade kicker) after declining the $5.6M option on his original 2yr/$11M Suns-buyout deal from July 2025. Contracts page was still carrying a stale $25,004,710 figure (Beal's old Wizards/Suns max-contract number) on both the dead PHO row and the LAC row -- team_override alone wasn't enough, same issue as KCP below. cap_hit_override set to the confirmed 2026-27 salary, $6,424,800."
Damian Lillard,,,,POR,,"Bucks stretched the remainder of his contract (to create space for Myles Turner) and Lillard re-signed with Portland for 2026-27, still recovering from his 2025 playoff Achilles tear. Contracts page still lists a stale MIL row alongside the new POR deal."
Kentavious Caldwell-Pope,,,3876529,PHI,,"Grizzlies buyout, signed with the 76ers July 2026 on a one-year, veteran-minimum deal reuniting him with LeBron James. Both duplicate rows on the contracts page (MEM and PHI) still show his old pre-buyout $20,194,392 salary -- team_override alone wasn't enough here, needed cap_hit_override too. $3,876,529 is the 2026-27 10+-years-of-service veteran minimum (same figure LeBron's row shows, which is a real coincidence, not a bug -- see LeBron's actual 2yr/$8M deal)."
Olivier-Maxence Prosper,,,,MEM,,"Waived by the Mavericks in August 2025 cap-space move, signed with Memphis on a two-way deal then promoted to a multi-year roster contract. Contracts page still lists a stale DAL row alongside the new MEM deal."
James Harden,,,32333333,,,"UPDATE Aug 2026: re-signed with Cleveland on Aug 20, 2026 on a new 3yr/$97M deal (player option on year 3, trade kicker), so he is no longer a free agent -- clearing free_agent_override, which was set below for the prior (now resolved) stale-option situation. cap_hit_override set to the average annual value, ~$32,333,333 (3yr/$97M) -- the year-by-year breakdown wasn't publicly reported as of this writing, so adjust if Basketball-Reference posts a different confirmed 2026-27 figure. team_override not needed; he's already on Cleveland (traded there in Feb 2026, per the original note below)."
Jonathan Kuminga,,,,,TRUE,"Traded to Atlanta at the 2026 deadline (part of the Kristaps Porzingis/Buddy Hield deal), but Atlanta declined his team option afterward -- he's an unrestricted free agent as of August 2026, not currently signed anywhere (reportedly drawing Sacramento interest). Contracts page still shows the now-declined option figure ($24.3M) attributed to ATL -- not a real signed deal. Revisit once he signs somewhere."
Trendon Watford,,,2900000,NOP,,"Philadelphia declined his $2.8M option in June 2026, making him a free agent; signed a one-year, $2.9M veteran-minimum deal with New Orleans on Aug 17, 2026. Contracts page likely still shows him under PHI (or omits him entirely) until it's re-scraped -- team_override to NOP and cap_hit_override added so he doesn't fall out of payroll/leaderboard."
Haywood Highsmith,,,,PHX,,"Waived by Phoenix around Aug 12, 2026 ($1M of his old $3,018,158 2026-27 salary was guaranteed). Agreed to a new one-year deal to return to the Suns on Aug 17, 2026 per Shams Charania (via agent Jerry Dianis) -- dollar terms not yet reported. team_override kept at PHX (same team either way) but cap_hit_override left blank since this is a fresh signing, not a continuation of the waived deal; the contracts page will show a stale figure until re-scraped and the real number is public. Fill in cap_hit_override once terms are reported."
DeMar DeRozan,,,3900000,DEN,,"Sacramento waived him in July 2026 (only $10M of his $25.7M 2025-26 salary was guaranteed); signed a one-year, $3.9M deal with Denver on Aug 21, 2026. Contracts page will likely still list him under Sacramento (or omit him entirely) until re-scraped -- team_override and cap_hit_override added so he doesn't fall out of payroll/leaderboard or show under the wrong team."
Peyton Watson,Veteran,,20500000,CLE,,"Sign-and-trade from Denver to Cleveland, part of a 5-team deal reported Aug 19-20, 2026 (Cavaliers also land Cam Whitmore from Washington; Max Strus goes to the Clippers -- see his own row). His rookie-scale deal is replaced by a new 4yr/$88M contract (bird-scaled, ~12.5%/yr raises: ~$20.5M in 2026-27 rising to ~$23.5M in 2029-30) -- cap_hit_override set to the confirmed 2026-27 figure. contract_type forced to 'Veteran' even though his Basketball-Reference-derived experience (drafted 2022, pick 30) still falls at/under ROOKIE_SCALE_MAX_EXPERIENCE -- worth double-checking against the rookie-scale valuation bug this project is already tracking, since he's exactly the kind of case (real veteran-tier extension signed just as his rookie-scale window would otherwise still flag him) that could surface it again. Contracts page probably still shows his old Denver rookie-scale numbers until re-scraped."
Max Strus,,,,LAC,,"Traded from Cleveland to the LA Clippers as part of the same Aug 19-20, 2026 Peyton Watson deal (see his row above). No new contract signed -- his existing salary carries over unchanged, so cap_hit_override is left blank. Contracts page may still list him under Cleveland until re-scraped -- team_override corrects that."
